Week number,Week start date
1 ,03-Jan-20
2 ,10-Jan-20
3 ,17-Jan-20
4 ,24-Jan-20
5 ,31-Jan-20
6 ,07-Feb-20
7 ,14-Feb-20
8 ,21-Feb-20
9 ,28-Feb-20
10 ,06-Mar-20
11 ,13-Mar-20
12 ,20-Mar-20
13 ,27-Mar-20
14 ,03-Apr-20
15 ,10-Apr-20
16 ,17-Apr-20
17 ,24-Apr-20
18 ,01-May-20
19 ,08-May-20
20 ,15-May-20
21 ,22-May-20
22 ,29-May-20
23 ,05-Jun-20
24 ,12-Jun-20
25 ,19-Jun-20
26 ,26-Jun-20
27 ,03-Jul-20
28 ,10-Jul-20
29 ,17-Jul-20
30 ,24-Jul-20
31 ,31-Jul-20
32 ,07-Aug-20
33 ,14-Aug-20
34 ,21-Aug-20
35 ,28-Aug-20
36 ,04-Sep-20
37 ,11-Sep-20
38 ,18-Sep-20
39 ,25-Sep-20
40 ,02-Oct-20
41 ,09-Oct-20
42 ,16-Oct-20
43 ,23-Oct-20
44 ,30-Oct-20
45 ,06-Nov-20
46 ,13-Nov-20
47 ,20-Nov-20
48 ,27-Nov-20
49 ,04-Dec-20
50 ,11-Dec-20
51 ,18-Dec-20
52 ,25-Dec-20
53 ,01-Jan-21
